Status	Class	ActionTypes	QuoteTypeCrit	SourceProductCodes	Targets	Seq	Name
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-CCMSIP	01tWC00000DD161YAD	10	Year 1 Maintenance Sku added to CCM for Single Purpose Devices Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-CCMWOR	01tWC00000DD166YAD	10	Year 1 Maintenance Sku added to CCM for Workstations Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-DPEEXP	01tWC00000DD1BRYA1	10	Year 1 Maintenance Sku added to Device Profiler Ev Express Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-DPELIM	01tWC00000DD1BVYA1	10	Year 1 Maintenance Sku added to Device Profiler Ev Limited Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-DPENON	01tWC00000DD1BZYA1	10	Year 1 Maintenance Sku added to Device Profiler Ev NonTran Unlmtd Use Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-DPEPER	01tWC00000DD1BVYA1	10	Year 1 Maintenance Sku added to Device Profiler Ev Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	DM-DML-NRPS-DMBP	01tWC00000DD1CSYA1	10	Year 1 Maintenance Sku added to Doc Management Bundle Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	GS-GSE-NRPS-E8CP	01tWC00000DD1DwYAL	10	Year 1 Maintenance Sku added to EFT 8 Continuum Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMMPE	01tWC00000DD1JdYAL	10	Year 1 Maintenance Sku added to FIM for MidSize Stores Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMDAT	01tWC00000DD1HsYAL	10	Year 1 Maintenance Sku added to File Integrity Manager for Databases Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMDEP	01tWC00000DD1HwYAL	10	Year 1 Maintenance Sku added to File Integrity Manager for Desktops Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMFSP	01tWC00000DD1I4YAL	10	Year 1 Maintenance Sku added to File Integrity Manager for File System Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMLAR	01tWC00000DD1I8YAL	10	Year 1 Maintenance Sku added to File Integrity Manager for Large Store Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMMID	01tWC00000DD1IEYA1	10	Year 1 Maintenance Sku added to File Integrity Manager for Mid Size St Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMNDP	01tWC00000DD1IIYA1	10	Year 1 Maintenance Sku added to File Integrity Manager for Network Dev Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMPSP	01tWC00000DD1ISYA1	10	Year 1 Maintenance Sku added to File Integrity Manager for POS Servers Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMSMA	01tWC00000DD1IWYA1	10	Year 1 Maintenance Sku added to File Integrity Manager for Small Store Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMVEP	01tWC00000DD1IdYAL	10	Year 1 Maintenance Sku added to File Integrity Manager for VMware ESX Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMDSP	01tWC00000DD1I0YAL	10	Year 1 Maintenance Sku added to File Integrity Mgr for Directory Serv Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMLAR	01tWC00000DD1I8YAL	10	Year 1 Maintenance Sku added to File Integrity Mgr for Large Store 75 Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMPOE	01tWC00000DD1INYA1	10	Year 1 Maintenance Sku added to File Integrity Mgr for MidSize Store Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-FIMPOE	01tWC00000DD1INYA1	10	Year 1 Maintenance Sku added to File Integrity Mgr for POS End Point Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	GOA-FIL-NRPS-FCCP	01tWC00000DD1IhYAL	10	Year 1 Maintenance Sku added to FileCatalyst Central Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-IP36PE	01tWC00000DCwWUYA1	10	Year 1 Maintenance Sku added to IP360 Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-IP36TE	01tWC00000DCwWYYA1	10	Year 1 Maintenance Sku added to IP360 Term Based Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-PMDP	01tWC00000DD1V5YAL	10	Year 1 Maintenance Sku added to Policy Manager for Desktops Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-PMFSP	01tWC00000DD1VAYA1	10	Year 1 Maintenance Sku added to Policy Manager for File Systems Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-PMNDP	01tWC00000DD1ZvYAL	10	Year 1 Maintenance Sku added to Policy Manager for Network Devices Perpetual
