Product2.ProductCode,UnitPrice
VM-VLM-RSL-PCIPFM,4957
VM-VLM-RSL-PCIASV,2800
DM-IBM-RSS-PCLTSU,2541
DM-IRC-RSS-PDFCOS,866.25
DM-PCR-RSS-PDFSPS,1905.75
SM-PKP-RSS-PEEKSU,2295
SM-PFA-RSS-PAGSUB,2000
SM-PFA-RSS-PAS,773
SM-PN-RSS-PNS,4677.05
HRM-HRM-RSL-PIIPS,2000
GS-GSE-RSS-PGPAYE,1525
VM-DDL-RMS-PHISIF,3600
ES-CEP-RSL-PHISDE,5000
ES-SEA-RSL-PHISRE,2200
VM-VLM-RSP-PSSRRS,6000
CM-TQO-RSS-PO1YSU,4665
DM-EU-RSS-POP4SU,1210
CS-DFT-RSS-PUPSUB,2248
CS-PTA-RSS-PALAS,550
CS-PTA-RSS-PASS,275
CS-PTA-RSS-PAXLS,100
CS-PTA-RSS-PAIIDS,1132.75
CS-PTA-RSS-PAIIS,2536
CS-PTA-RSS-PTAVS,4887.5
CS-PAB-RSS-PABIIS,2324.15
CS-PCS-RSS-PCMDSS,3852.5
CS-PCM-RSS-PCMIIS,2773.8
CS-PDM-RSS-PDMS,2324.15
CS-PDM-RSS-POVS,35913.35
CS-PDM-RSS-PORS,2324.15
CS-PDM-RSS-PDMIIS,48
CS-PEI-RSS-PEIIS,2340
CS-PEI-RSS-PEIS,1097.25
CS-PEI-RSS-POMS,1097.25
CS-PEI-RSS-POWENC,3297.25
CS-PEM-RSS-PEMS,8250
CS-PEP-RSS-PEPS,1198.8
PIA-PIA-RSS-PIAS,196
CS-PIM-RSS-PIMIIS,1992.95
CS-PMF-RSS-PMFS,1100
CS-PPS-RSS-PPSS,664.7
CS-PPM-RSS-PPMIIS,1733
CS-PRA-RSS-PRAIIS,2656.5
CS-RSA-RSS-PRSS,1606
CS-PSA-RSS-PSAS,220
CS-CLP-RSP-PTRS,275
SM-SYM-NRST-PXS,275
FIM-FIM-RSP-PPTARS,15000
FIM-FIM-RSP-PPTRES,380000
FIM-FIM-RSP-PPTRERS,215000
FIM-FIM-RSP-PPTRERRS,215000
HRM-HRM-RSL-PRIVAC,2000
HRM-HRM-RSL-PHIPS,2400
BI-QRW-RSS-QRWSUB,1488
DM-IRC-RSS-RAWRSU,866.25
SM-RAP-RSS-RECOSU,800
VM-VLM-RSP-RTPTRS,25000
GS-GSE-RSS-REGUYE,3465
GS-GSE-RRM-RAMRM,962
ES-SWG-RSS-RCSWGS,15.6
BI-SDW-RSS-RDPS,1000
BI-SDW-RSS-RDSS,1375
NW-IRA-RSS-RAIS,296
NW-INT-RSS-RAPS,329
NW-INT-RSS-RASFS,908
