AttributeValue,QuoteLineItemId,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.UnitPrice,QuoteLineItem.TotalPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status,QuoteLineItem.Quote.QuoteTypeText__c
Professional,0QLWC000003DFym4AG,GS-GSE-RRM-EFTFT,Renewal Maintenance,,1194.94,1194.94,,Approved,Renewal
Professional,0QLWC000003DfyM4AS,GS-GSE-RRM-EOPM,Renewal Maintenance,,609.79,609.79,,Approved,Renewal
Professional,0QLWC000003DFyM4AW,GS-GSE-RRM-EFTAW,Renewal Maintenance,,641.06,641.06,,Approved,Renewal
Professional,0QLWC000003DFyn4AG,GS-GSE-RRM-EFAR,Renewal Maintenance,,657.35,657.35,,Approved,Renewal
Professional,0QLWC000003DfyN4AS,GS-GSE-RRM-EFTAW,Renewal Maintenance,,1942.99,1942.99,,Approved,Renewal
Professional,0QLWC000003DFyN4AW,GS-GSE-RRM-EFTAS,Renewal Maintenance,,704.15,704.15,,Approved,Renewal
Professional,0QLWC000003DFyo4AG,GS-GSE-RRM-EFTSF,Renewal Maintenance,,266.75,266.75,,Approved,Renewal
Professional,0QLWC000003DfyO4AS,GS-GSE-RRM-EERM,Renewal Maintenance,,3165.09,3165.09,,Approved,Renewal
Professional,0QLWC000003DFyO4AW,GS-GSE-RRM-EERM,Renewal Maintenance,,6327.27,6327.27,,Approved,Renewal
Professional,0QLWC000003DFyp4AG,GS-GSE-RRM-EFAR,Renewal Maintenance,,657.35,657.35,,Approved,Renewal
Professional,0QLWC000003DfyP4AS,GS-GSE-RRM-EOPM,Renewal Maintenance,,304.26,304.26,,Approved,Renewal
Professional,0QLWC000003DFyP4AW,GS-GSE-RRM-EERM,Renewal Maintenance,,6823.95,6823.95,,Approved,Renewal
