AttributeValue,QuoteLineItemId,QuoteLineItem.Product2Id,QuoteLineItem.Product2.Name,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status
Standard,0QLWC000003HJIW4A4,01tWC00000DD1A4YAL,Data Protection-NewMaintenance,DP-DLP-RNM-DPNM,New Maintenance,,,Won
Standard,0QLWC000003HJIX4A4,01tWC00000DD1A5YAL,Data Protection-RenewalMaintenance,DP-DLP-RRM-DPRM,Renewal Maintenance,,,Won
Standard,0QLWC000003HJIY4A4,01tWC00000DD1A5YAL,Data Protection-RenewalMaintenance,DP-DLP-RRM-DPRM,Renewal Maintenance,,,Won
Standard,0QLWC000003Hjkv4AC,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003Hjkx4AC,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003Hjkz4AC,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HJL04AO,01tWC00000DD1GmYAL,Email Security-NewMaintenance,ES-SEG-RNM-ESNM,New Maintenance,,,Won
Standard,0QLWC000003Hjl14AC,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HJL14AO,01tWC00000DD1GmYAL,Email Security-NewMaintenance,ES-SEG-RNM-ESNM,New Maintenance,,,Won
Standard,0QLWC000003Hjl34AC,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003Hjl54AC,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HJL64AO,01tWC00000DD1GnYAL,Email Security-RenewalMaintenance,ES-SEG-RRM-ESRM,Renewal Maintenance,,,Won
