Id,Product2Id,Product2.Name,Product2.ProductCode,Product2.Family,Product2.IsActive,Pricebook2Id,Pricebook2.Name,CurrencyIsoCode,UnitPrice,IsActive
01uWC000005pHxnYAE,01tWC00000DD13mYAD,Authority Swapper-RenewalMaintenance,SM-AUS-RRM-AUTHRE,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHxtYAE,01tWC00000DD13pYAD,Automate Desktop-NewMaintenance,RPA-AUD-RNM-ADNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHxzYAE,01tWC00000DD13rYAD,Automate Desktop-RenewalMaintenance,RPA-AUD-RRM-ADRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHy5YAE,01tWC00000DD13wYAD,Automate Enterprise-NewMaintenance,RPA-AUT-RNM-AUTOMA,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHyBYAU,01tWC00000DD13yYAD,Automate Enterprise-RenewalMaintenance,RPA-AUT-RRM-AURM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHyHYAU,01tWC00000DD140YAD,Automate Enterprise Agent-NewMaintenance,RPA-AUT-RNM-AEANM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHyNYAU,01tWC00000DD142YAD,Automate Enterprise Agent-RenewalMaintenance,RPA-AUT-RRM-AEARM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHyTYAU,01tWC00000DD144YAD,Automate Enterprise Developer Tools-NewMaintenance,RPA-AUT-RNM-AEDTNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHyZYAU,01tWC00000DD146YAD,Automate Enterprise Developer Tools-RenewalMaintenance,RPA-AUT-RRM-AEDTRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHyfYAE,01tWC00000DD14AYAT,Automate Full/Premium-NewMaintenance,RPA-AUD-RNM-AFPNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHylYAE,01tWC00000DD14CYAT,Automate Full/Premium-RenewalMaintenance,RPA-AUD-RRM-AFPRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHyrYAE,01tWC00000DD14GYAT,Automate Intelligent Capture-NewMaintenance,RPA-AIC-RNM-AICNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
