Id,Name,StockKeepingUnit,BasedOnId,BasedOn.Name
01tWC00000DD1lWYAT,Spooled File Mgr-DMS-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1mVYAT,Tango/04 Portal User-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1vmYAD,User Profile Manager-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1wEYAT,VISUAL Control Performance Planner - for iSeries-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1wIYAT,VISUAL Control/LPAR Tuner-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1wMYAT,VISUAL Debugger 5250-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1wQYAT,VISUAL Message Center - Full Pack-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1q2YAD,VISUAL Message Center Dashboards-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1qIYAT,VISUAL Remote Control (add-on to VSP)-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1qEYAT,VISUAL Remote Control-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1qxYAD,VMC - Debugging Agent-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1rDYAT,VMC - iSeries Performance Agent (Powered by VCW)-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1rHYAT,VMC - iSeries Performance Manager-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1rXYAT,VMC - iSeries Support Agent-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1sFYAT,VMC - SLA Analytics-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DCyxpYAD,VMC - Windows Security Agent - 10 Units Package-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DCyxxYAD,VMC iSeries Performance Agent-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
