
===== SHEET: Tripwire Enterprise (181r x 9c) =====
製品番号 SKU	数量 Qty	製品名 Description	定価 TWKK List Price (External- Distributor list price)	50% Discount from List (Distributor Buy Price)	55% Discount from List (Distributor Buy Price)	60% Discount from List (Distributor Buy Price)	65% of Distributor Buy Price (target based upon 2013 results)	Yen Transfer Price
TEサーバー (Consoles)
172109-03-JA	1-100	Tripwire Enterprise for POS End Point Systems - Renewal Basic Support	4968	2484	2235.6	1987.2	1614.6000000000001	2000
172109-03-JA	101-250	Tripwire Enterprise for POS End Point Systems - Renewal Basic Support	3996.0000000000005	1998.0000000000002	1798.2000000000003	1598.4000000000003	1298.7000000000003	1000
172109-03-JA	251-500	Tripwire Enterprise for POS End Point Systems - Renewal Basic Support	2808	1404	1263.6000000000001	1123.2	912.6	1000
172109-03-JA	501-1000	Tripwire Enterprise for POS End Point Systems - Renewal Basic Support	2376	1188	1069.2	950.4000000000001	772.2	1000
172109-03-JA	1001+	Tripwire Enterprise for POS End Point Systems - Renewal Basic Support	1944.0000000000002	972.0000000000001	874.8000000000001	777.6000000000001	631.8000000000001	1000
172260-00-JA	1-100	Tripwire for Directory Services - License	73696	36848	33163.200000000004	29478.4	23951.2	24000
172260-00-JA	101-250	Tripwire for Directory Services - License	58912.00000000001	29456.000000000004	26510.400000000005	23564.800000000003	19146.4	19000
172260-00-JA	251-500	Tripwire for Directory Services - License	36736	18368	16531.2	14694.400000000001	11939.2	12000
172260-00-JA	501-1000	Tripwire for Directory Services - License	31808.000000000004	15904.000000000002	14313.600000000002	12723.200000000003	10337.600000000002	10000
172260-00-JA	1001+	Tripwire for Directory Services - License	24416.000000000004	12208.000000000002	10987.200000000003	9766.400000000001	7935.200000000002	8000
172260-01-JA	1-100	Tripwire for Directory Services - Basic Support	15568.000000000002	7784.000000000001	7005.600000000001	6227.200000000001	5059.6	5000
172260-01-JA	101-250	Tripwire for Directory Services - Basic Support	12320.000000000002	6160.000000000001	5544.000000000001	4928.000000000001	4004.000000000001	4000
172260-01-JA	251-500	Tripwire for Directory Services - Basic Support	7616.000000000001	3808.0000000000005	3427.2000000000003	3046.4000000000005	2475.2000000000003	2000
172260-01-JA	501-1000	Tripwire for Directory Services - Basic Support	6608.000000000001	3304.0000000000005	2973.6000000000004	2643.2000000000007	2147.6000000000004	2000
172260-01-JA	1001+	Tripwire for Directory Services - Basic Support	5152.000000000001	2576.0000000000005	2318.4000000000005	2060.8000000000006	1674.4000000000003	2000
172260-03-JA	1-100	Tripwire for Directory Services - Renewal Basic Support	15012.000000000002	7506.000000000001	6755.400000000001	6004.800000000001	4878.900000000001	5000
172260-03-JA	101-250	Tripwire for Directory Services - Renewal Basic Support	11880	5940	5346	4752	3861	4000
172260-03-JA	251-500	Tripwire for Directory Services - Renewal Basic Support	7344.000000000001	3672.0000000000005	3304.8000000000006	2937.6000000000004	2386.8	2000
172260-03-JA	501-1000	Tripwire for Directory Services - Renewal Basic Support	6372	3186	2867.4	2548.8	2070.9	2000
172260-03-JA	1001+	Tripwire for Directory Services - Renewal Basic Support	4968	2484	2235.6	1987.2	1614.6000000000001	2000
172310-00-JA	1-100	Tripwire for Databases  - License	73696	36848	33163.200000000004	29478.4	23951.2	24000
172310-00-JA	101-250	Tripwire for Databases  - License	58912.00000000001	29456.000000000004	26510.400000000005	23564.800000000003	19146.4	19000
172310-00-JA	251-500	Tripwire for Databases  - License	36736	18368	16531.2	14694.400000000001	11939.2	12000
172310-00-JA	501-1000	Tripwire for Databases  - License	31808.000000000004	15904.000000000002	14313.600000000002	12723.200000000003	10337.600000000002	10000
172310-00-JA	1001+	Tripwire for Databases  - License	24416.000000000004	12208.000000000002	10987.200000000003	9766.400000000001	7935.200000000002	8000
172310-01-JA	1-100	Tripwire for Databases  - Basic Support	15568.000000000002	7784.000000000001	7005.600000000001	6227.200000000001	5059.6	5000
172310-01-JA	101-250	Tripwire for Databases  - Basic Support	12320.000000000002	6160.000000000001	5544.000000000001	4928.000000000001	4004.000000000001	4000
172310-01-JA	251-500	Tripwire for Databases  - Basic Support	7616.000000000001	3808.0000000000005	3427.2000000000003	3046.4000000000005	2475.2000000000003	2000
172310-01-JA	501-1000	Tripwire for Databases  - Basic Support	6608.000000000001	3304.0000000000005	2973.6000000000004	2643.2000000000007	2147.6000000000004	2000
172310-01-JA	1001+	Tripwire for Databases  - Basic Support	5152.000000000001	2576.0000000000005	2318.4000000000005	2060.8000000000006	1674.4000000000003	2000
172310-03-JA	1-100	Tripwire for Databases - Renewal Basic Support	15012.000000000002	7506.000000000001	6755.400000000001	6004.800000000001	4878.900000000001	5000
172310-03-JA	101-250	Tripwire for Databases - Renewal Basic Support	11880	5940	5346	4752	3861	4000
172310-03-JA	251-500	Tripwire for Databases - Renewal Basic Support	7344.000000000001	3672.0000000000005	3304.8000000000006	2937.6000000000004	2386.8	2000
172310-03-JA	501-1000	Tripwire for Databases - Renewal Basic Support	6372	3186	2867.4	2548.8	2070.9	2000
172310-03-JA	1001+	Tripwire for Databases - Renewal Basic Support	4968	2484	2235.6	1987.2	1614.6000000000001	2000
150100-00-JA	1-100	Tripwire for Microsoft Exchange - License	73696	36848	33163.200000000004	29478.4	23951.2	24000
150100-00-JA	101-250	Tripwire for Microsoft Exchange - License	58912.00000000001	29456.000000000004	26510.400000000005	23564.800000000003	19146.4	19000
150100-00-JA	251-500	Tripwire for Microsoft Exchange - License	36736	18368	16531.2	14694.400000000001	11939.2	12000
150100-00-JA	501-1000	Tripwire for Microsoft Exchange - License	31808.000000000004	15904.000000000002	14313.600000000002	12723.200000000003	10337.600000000002	10000
150100-00-JA	1001+	Tripwire for Microsoft Exchange - License	24416.000000000004	12208.000000000002	10987.200000000003	9766.400000000001	7935.200000000002	8000
150100-01-JA	1-100	Tripwire for Microsoft Exchange - Basic Support	15568.000000000002	7784.000000000001	7005.600000000001	6227.200000000001	5059.6	5000
150100-01-JA	101-250	Tripwire for Microsoft Exchange - Basic Support	12320.000000000002	6160.000000000001	5544.000000000001	4928.000000000001	4004.000000000001	4000
150100-01-JA	251-500	Tripwire for Microsoft Exchange - Basic Support	7616.000000000001	3808.0000000000005	3427.2000000000003	3046.4000000000005	2475.2000000000003	2000
