Id,Name,ProductCode
01tWC00000FCEGOYA5,VISUAL Message Center Suite for Operations (Technical)-NewMaintenance,SM-VMC-RNM-VMESSA-TECH
01tWC00000FCEGPYA5,VISUAL Message Center Suite for Operations (Technical),SM-VMC-NRPS-VIOP-TECH
01tWC00000FCEGQYA5,VISUAL Message Center Suite for Operations (Technical)-RenewalMaintenance,SM-VMC-RRM-VISUMC-TECH
01tWC00000FCEGRYA5,VISUAL Message Center Suite for Operations (Technical),SM-VMC-RSS-VIOS-TECH
01tWC00000FCEGSYA5,VISUAL Remote Control (Technical)-NewMaintenance,SM-VMC-RNM-VRCM-TECH
01tWC00000FCEGTYA5,VISUAL Remote Control (Technical),SM-VMC-NRPS-VRCP-TECH
01tWC00000FCEGUYA5,VISUAL Remote Control (Technical)-RenewalMaintenance,SM-VMC-RRM-VIRE-TECH
01tWC00000FCEGVYA5,VISUAL Remote Control (Technical),SM-VMC-RSS-VRCS-TECH
01tWC00000FCEGWYA5,VISUAL Remote Control (add-on to VSP) (Technical)-NewMaintenance,SM-VMC-RNM-VISUAR-TECH
01tWC00000FCEGXYA5,VISUAL Remote Control (add-on to VSP) (Technical),SM-VMC-NRPS-VIVP-TECH
01tWC00000FCEGYYA5,VISUAL Remote Control (add-on to VSP) (Technical)-RenewalMaintenance,SM-VMC-RRM-VISURE-TECH
01tWC00000FCEGZYA5,VISUAL Remote Control (add-on to VSP) (Technical),SM-VMC-RSS-VIVS-TECH
01tWC00000FCEGaYAP,VISUAL Security Suite - Security Package (Technical)-NewMaintenance,SM-VMC-RNM-VSSM-TECH
01tWC00000FCEGbYAP,VISUAL Security Suite - Security Package (Technical),SM-VMC-NRPS-VSSP-TECH
01tWC00000FCEGcYAP,VISUAL Security Suite - Security Package (Technical)-RenewalMaintenance,SM-VMC-RRM-VISE-TECH
01tWC00000FCEGdYAP,VISUAL Security Suite - Security Package (Technical),SM-VMC-RSS-VSSS-TECH
01tWC00000FCEGeYAP,VMC - Additional ThinkServer (Technical)-NewMaintenance,SM-VMC-RNM-VMCA-TECH
01tWC00000FCEGfYAP,VMC - Additional ThinkServer (Technical),SM-VMC-NRPS-VATP-TECH
01tWC00000FCEGgYAP,VMC - Additional ThinkServer (Technical)-RenewalMaintenance,SM-VMC-RRM-VATM-TECH
01tWC00000FCEGhYAP,VMC - Additional ThinkServer (Technical),SM-VMC-RSS-VATS-TECH
01tWC00000FCEGiYAP,VMC - Cisco PIX/ASA Security Agent (Technical)-NewMaintenance,SM-VMC-RNM-VMCC-TECH
01tWC00000FCEGjYAP,VMC - Cisco PIX/ASA Security Agent (Technical),SM-VMC-NRPS-VMCI-TECH
01tWC00000FCEGkYAP,VMC - Cisco PIX/ASA Security Agent (Technical)-RenewalMaintenance,SM-VMC-RRM-VMCCI-TECH
01tWC00000FCEGlYAP,VMC - Cisco PIX/ASA Security Agent (Technical),SM-VMC-RSS-VMAS-TECH
01tWC00000FCEGmYAP,VISUAL Control Center (Technical)-NewMaintenance,SM-VMC-RNM-VISUAL-TECH
01tWC00000FCEGnYAP,VISUAL Control Center (Technical)-RenewalMaintenance,SM-VMC-RRM-VCCM-TECH
01tWC00000FCEGoYAP,VISUAL Control for Jobs (Technical)-NewMaintenance,SM-VMC-RNM-VCJM-TECH
01tWC00000FCEGpYAP,VISUAL Control for Jobs (Technical),SM-VMC-NRPS-VCJP-TECH
01tWC00000FCEGqYAP,VISUAL Control for Jobs (Technical)-RenewalMaintenance,SM-VMC-RRM-VICO-TECH
01tWC00000FCEGrYAP,VISUAL Control for Jobs (Technical),SM-VMC-RSS-VCJS-TECH
01tWC00000FCEGsYAP,VISUAL Control for Pools (Technical)-NewMaintenance,SM-VMC-RNM-VCPM-TECH
01tWC00000FCEGtYAP,VISUAL Control for Pools (Technical),SM-VMC-NRPS-VCPP-TECH
01tWC00000FCEGuYAP,VISUAL Control for Pools (Technical)-RenewalMaintenance,SM-VMC-RRM-VIRM-TECH
01tWC00000FCEGvYAP,VISUAL Control for Pools (Technical),SM-VMC-RSS-VCPS-TECH
01tWC00000FCEGwYAP,VISUAL Control/LPAR Tuner (Technical)-NewMaintenance,SM-VMC-RNM-VCLM-TECH
01tWC00000FCEGxYAP,VISUAL Control/LPAR Tuner (Technical),SM-VMC-NRPS-VCLP-TECH
01tWC00000FCEGyYAP,VISUAL Control/LPAR Tuner (Technical)-RenewalMaintenance,SM-VMC-RRM-VICONT-TECH
01tWC00000FCEGzYAP,VISUAL Control/LPAR Tuner (Technical),SM-VMC-RSS-VCLS-TECH
01tWC00000FCEH0YAP,VISUAL Debugger 5250 (Technical)-NewMaintenance,SM-VMC-RNM-VD5M-TECH
01tWC00000FCEH1YAP,VISUAL Debugger 5250 (Technical),SM-VMC-NRPS-VD5P-TECH
01tWC00000FCEH2YAP,VISUAL Debugger 5250 (Technical)-RenewalMaintenance,SM-VMC-RRM-VIDE-TECH
